,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,Make,Model,Price,Kilometer,Fuel Type,Location,Color,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
39,sx4,2003.0,2.25,7.98,62000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,baleno,2016.0,5.85,7.87,24524.0,Petrol,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,alto k10,2014.0,2.55,3.98,46706.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,sx4,2008.0,1.95,7.15,58000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,dzire,2014.0,5.5,8.06,45780.0,Diesel,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,omni,2012.0,1.25,2.69,50000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ciaz,2014.0,7.5,12.04,15000.0,Petrol,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ritz,2013.0,2.65,4.89,64532.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,wagon r,2006.0,1.05,4.15,65000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ertiga,2015.0,5.8,7.71,25870.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ciaz,2017.0,7.75,9.29,37000.0,Petrol,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,fortuner,2012.0,14.9,30.61,104707.0,Diesel,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,fortuner,2015.0,23.0,30.61,40000.0,Diesel,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,innova,2017.0,18.0,19.77,15000.0,Diesel,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,fortuner,2013.0,16.0,30.61,135000.0,Diesel,Individual,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,innova,2005.0,2.75,10.21,90000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,corolla altis,2009.0,3.6,15.04,70000.0,Petrol,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,etios cross,2015.0,4.5,7.27,40534.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,corolla altis,2010.0,4.75,18.54,50000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,etios g,2014.0,4.1,6.8,39485.0,Petrol,Dealer,Manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,fortuner,2014.0,19.99,35.96,41000.0,Diesel,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,corolla altis,2013.0,6.95,18.61,40001.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,etios cross,2015.0,4.5,7.7,40588.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,fortuner,2014.0,18.75,35.96,78000.0,Diesel,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,fortuner,2015.0,23.5,35.96,47000.0,Diesel,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,fortuner,2017.0,33.0,36.23,6000.0,Diesel,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,etios liva,2014.0,4.75,6.95,45000.0,Diesel,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,innova,2017.0,19.75,23.15,11000.0,Petrol,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,fortuner,2010.0,9.25,20.45,59000.0,Diesel,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,corolla altis,2011.0,4.35,13.74,88000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,corolla altis,2016.0,14.25,20.91,12000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,etios liva,2014.0,3.95,6.76,71000.0,Diesel,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,corolla altis,2011.0,4.5,12.48,45000.0,Diesel,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,corolla altis,2013.0,7.45,18.61,56001.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,etios liva,2011.0,2.65,5.71,43000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,etios cross,2014.0,4.9,8.93,83000.0,Diesel,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,etios g,2015.0,3.95,6.8,36000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,corolla altis,2013.0,5.5,14.68,72000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,corolla,2004.0,1.5,12.35,135154.0,Petrol,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,corolla altis,2010.0,5.25,22.83,80000.0,Petrol,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,fortuner,2012.0,14.5,30.61,89000.0,Diesel,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,corolla altis,2016.0,14.73,14.89,23000.0,Diesel,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,etios gd,2015.0,4.75,7.85,40000.0,Diesel,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,innova,2017.0,23.0,25.39,15000.0,Diesel,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,innova,2015.0,12.5,13.46,38000.0,Diesel,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,innova,2005.0,3.49,13.46,197176.0,Diesel,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,camry,2006.0,2.5,23.73,142000.0,Petrol,Individual,Automatic,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,land cruiser,2010.0,35.0,92.6,78000.0,Diesel,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,corolla altis,2012.0,5.9,13.74,56000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,etios liva,2013.0,3.45,6.05,47000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,etios g,2014.0,4.75,6.76,40000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,corolla altis,2009.0,3.8,18.61,62000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,innova,2014.0,11.25,16.09,58242.0,Diesel,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,innova,2005.0,3.51,13.7,75000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,fortuner,2015.0,23.0,30.61,40000.0,Diesel,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,corolla altis,2008.0,4.0,22.78,89000.0,Petrol,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,corolla altis,2012.0,5.85,18.61,72000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,innova,2016.0,20.75,25.39,29000.0,Diesel,Dealer,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,corolla altis,2017.0,17.0,18.64,8700.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,corolla altis,2013.0,7.05,18.61,45000.0,Petrol,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,fortuner,2010.0,9.65,20.45,50024.0,Diesel,Dealer,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Royal Enfield Thunder 500,2016.0,1.75,1.9,3000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,UM Renegade Mojave,2017.0,1.7,1.82,1400.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,KTM RC200,2017.0,1.65,1.78,4000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Bajaj Dominar 400,2017.0,1.45,1.6,1200.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Royal Enfield Classic 350,2017.0,1.35,1.47,4100.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,KTM RC390,2015.0,1.35,2.37,21700.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Hyosung GT250R,2014.0,1.35,3.45,16500.0,Petrol,Individual,Manual,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Royal Enfield Thunder 350,2013.0,1.25,1.5,15000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Royal Enfield Thunder 350,2016.0,1.2,1.5,18000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Royal Enfield Classic 350,2017.0,1.2,1.47,11000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,KTM RC200,2016.0,1.2,1.78,6000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Royal Enfield Thunder 350,2016.0,1.15,1.5,8700.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,KTM 390 Duke ,2014.0,1.15,2.4,7000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Mahindra Mojo XT300,2016.0,1.15,1.4,35000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Royal Enfield Classic 350,2015.0,1.15,1.47,17000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Royal Enfield Classic 350,2015.0,1.11,1.47,17500.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Royal Enfield Classic 350,2013.0,1.1,1.47,33000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Royal Enfield Thunder 500,2015.0,1.1,1.9,14000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Royal Enfield Classic 350,2015.0,1.1,1.47,26000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Royal Enfield Thunder 500,2013.0,1.05,1.9,5400.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Bajaj Pulsar RS200,2016.0,1.05,1.26,5700.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Royal Enfield Thunder 350,2011.0,1.05,1.5,6900.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Royal Enfield Bullet 350,2016.0,1.05,1.17,6000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Royal Enfield Classic 350,2013.0,1.0,1.47,46500.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Royal Enfield Classic 500,2012.0,0.95,1.75,11500.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Royal Enfield Classic 500,2009.0,0.9,1.75,40000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Bajaj Avenger 220,2017.0,0.9,0.95,1300.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Bajaj Avenger 150,2016.0,0.75,0.8,7000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Honda CB Hornet 160R,2017.0,0.8,0.87,3000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Yamaha FZ S V 2.0,2017.0,0.78,0.84,5000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Honda CB Hornet 160R,2017.0,0.75,0.87,11000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Yamaha FZ 16,2015.0,0.75,0.82,18000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Bajaj Avenger 220,2017.0,0.75,0.95,3500.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Bajaj Avenger 220,2016.0,0.72,0.95,500.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,TVS Apache RTR 160,2017.0,0.65,0.81,11800.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Bajaj Pulsar 150,2015.0,0.65,0.74,5000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Honda CBR 150,2014.0,0.65,1.2,23500.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Hero Extreme,2013.0,0.65,0.787,16000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Honda CB Hornet 160R,2016.0,0.6,0.87,15000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Bajaj Avenger 220 dtsi,2015.0,0.6,0.95,16600.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Honda CBR 150,2013.0,0.6,1.2,32000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Bajaj Avenger 150 street,2016.0,0.6,0.8,20000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Yamaha FZ  v 2.0,2015.0,0.6,0.84,29000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Yamaha FZ  v 2.0,2016.0,0.6,0.84,25000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Bajaj Pulsar  NS 200,2014.0,0.6,0.99,25000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,TVS Apache RTR 160,2012.0,0.6,0.81,19000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Hero Extreme,2014.0,0.55,0.787,15000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Yamaha FZ S V 2.0,2015.0,0.55,0.84,58000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Bajaj Pulsar 220 F,2010.0,0.52,0.94,45000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Bajaj Pulsar 220 F,2016.0,0.51,0.94,24000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,TVS Apache RTR 180,2011.0,0.5,0.826,6000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Hero Passion X pro,2016.0,0.5,0.55,31000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Bajaj Pulsar NS 200,2012.0,0.5,0.99,13000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Bajaj Pulsar NS 200,2013.0,0.5,0.99,45000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Yamaha Fazer ,2014.0,0.5,0.88,8000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Honda Activa 4G,2017.0,0.48,0.51,4300.0,Petrol,Individual,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,TVS Sport ,2017.0,0.48,0.52,15000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Yamaha FZ S V 2.0,2015.0,0.48,0.84,23000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Honda Dream Yuga ,2017.0,0.48,0.54,8600.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Honda Activa 4G,2017.0,0.45,0.51,4000.0,Petrol,Individual,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Bajaj Avenger Street 220,2011.0,0.45,0.95,24000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,TVS Apache RTR 180,2014.0,0.45,0.826,23000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Bajaj Pulsar NS 200,2012.0,0.45,0.99,14500.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Bajaj Avenger 220 dtsi,2010.0,0.45,0.95,27000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Hero Splender iSmart,2016.0,0.45,0.54,14000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Activa 3g,2016.0,0.45,0.54,500.0,Petrol,Individual,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Hero Passion Pro,2016.0,0.45,0.55,1000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,TVS Apache RTR 160,2014.0,0.42,0.81,42000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Honda CB Trigger,2013.0,0.42,0.73,12000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Hero Splender iSmart,2015.0,0.4,0.54,14000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Yamaha FZ S ,2012.0,0.4,0.83,5500.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Hero Passion Pro,2015.0,0.4,0.55,6700.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Bajaj Pulsar 135 LS,2014.0,0.4,0.64,13700.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Activa 4g,2017.0,0.4,0.51,1300.0,Petrol,Individual,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Honda CB Unicorn,2015.0,0.38,0.72,38600.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Hero Honda CBZ extreme,2011.0,0.38,0.787,75000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Honda Karizma,2011.0,0.35,1.05,30000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Honda Activa 125,2016.0,0.35,0.57,24000.0,Petrol,Individual,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,TVS Jupyter,2014.0,0.35,0.52,19000.0,Petrol,Individual,Automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Honda Karizma,2010.0,0.31,1.05,213000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Hero Honda Passion Pro,2012.0,0.3,0.51,60000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Hero Splender Plus,2016.0,0.3,0.48,50000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Honda CB Shine,2013.0,0.3,0.58,30000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Bajaj Discover 100,2013.0,0.27,0.47,21000.0,Petrol,Individual,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
